Date,Open,Close
2015-01-01 00:00:00,2130.361626,1844.227936
2015-01-02 00:00:00,2130.373119,1875.954651
2015-01-05 00:00:00,2170.946899,1873.416656
2015-01-06 00:00:00,2141.241137,1828.373199
2015-01-07 00:00:00,2096.113347,1831.494873
2015-01-08 00:00:00,2139.953373,1885.848969
2015-01-09 00:00:00,2180.192702,1889.524902
2015-01-12 00:00:00,2163.971485,1900.81839
2015-01-13 00:00:00,2186.773818,1908.196167
2015-01-14 00:00:00,2182.284589,1899.529144
2015-01-15 00:00:00,2261.425984,1944.812531
2015-01-16 00:00:00,2235.762537,1947.648682
2015-01-19 00:00:00,2245.7688,1965.641907
2015-01-20 00:00:00,2257.504646,2003.812195
2015-01-21 00:00:00,2298.323863,1996.160095
2015-01-22 00:00:00,2297.723315,2014.567017
2015-01-23 00:00:00,2329.551501,2024.49823
2015-01-27 00:00:00,2331.858241,2077.141876
2015-01-28 00:00:00,2370.58402,2050.39566
2015-01-29 00:00:00,2354.756958,2063.042511
2015-01-30 00:00:00,2370.071915,2023.056152
2015-02-02 00:00:00,2296.914681,2060.94455
2015-02-03 00:00:00,2353.083051,1995.907379
2015-02-04 00:00:00,2275.74515,1961.503845
2015-02-05 00:00:00,2230.258676,1963.362152
2015-02-06 00:00:00,2230.544775,1934.454407
2015-02-09 00:00:00,2177.351336,1910.995819
2015-02-10 00:00:00,2142.29744,1936.909729
2015-02-11 00:00:00,2216.153729,1962.855652
2015-02-12 00:00:00,2236.798413,1982.828705
2015-02-13 00:00:00,2256.087593,1990.685577
2015-02-16 00:00:00,2288.833068,1967.769531
2015-02-18 00:00:00,2249.460695,1981.57666
2015-02-19 00:00:00,2262.821296,1976.317139
2015-02-20 00:00:00,2250.345845,1958.804291
2015-02-23 00:00:00,2256.714037,1951.81839
2015-02-24 00:00:00,2224.302146,1968.732758
2015-02-25 00:00:00,2248.11954,1956.074707
2015-02-26 00:00:00,2227.58335,1943.21814
2015-02-27 00:00:00,2214.227854,1978.650635
2015-03-02 00:00:00,2375.636227,2114.362427
2015-03-03 00:00:00,2394.791249,2100.758606
2015-03-04 00:00:00,2438.104537,2075.709259
2015-03-05 00:00:00,2338.263019,2088.457062
2015-03-09 00:00:00,2335.2641,2015.944153
2015-03-10 00:00:00,2283.515172,1999.362427
2015-03-11 00:00:00,2258.339197,2012.755829
2015-03-12 00:00:00,2289.544265,2013.802002
2015-03-13 00:00:00,2300.770908,1973.720459
2015-03-16 00:00:00,2227.58233,1964.445313
2015-03-17 00:00:00,2238.033205,1993.670715
2015-03-18 00:00:00,2255.54964,1998.90152
2015-03-19 00:00:00,2279.976345,1964.166534
2015-03-20 00:00:00,2215.891062,1956.172943
2015-03-23 00:00:00,2217.518567,1945.502075
2015-03-24 00:00:00,2183.606977,1944.59082
2015-03-25 00:00:00,2193.291672,1943.976013
2015-03-26 00:00:00,2168.169257,1896.108002
2015-03-27 00:00:00,2151.088935,1904.05661
2015-03-30 00:00:00,2156.039655,1940.691559
2015-03-31 00:00:00,2192.489264,1928.929596
2015-04-01 00:00:00,2174.912943,1973.041321
